fips,age
31039,41.645602532217964
31109,36.537387570904755
31129,45.50409836065573
31101,44.9462285287528
31137,41.18696037192828
31181,43.15428735302553
31043,35.611305303105965
31015,47.10161542470037
31171,43.343490304709135
31089,41.437766961358896
31017,44.79357021996616
31103,48.81761786600495
31007,42.0
31077,43.36247877758913
31095,43.61368152143061
31151,37.10651012373454
31057,45.69167158889545
31157,39.828625975630295
31001,39.389599209259316
31131,40.930177366974775
31099,40.41108545034641
31087,44.01846488052137
31105,44.042951541850215
31127,39.91810097532989
31041,41.85524728588661
31025,40.584654068881434
31143,42.996547093803954
31045,39.19408545814414
31179,37.55940330314331
31071,46.60639918740477
31055,36.39447111724109
31139,40.58701734750979
31141,38.609351658201376
31013,39.89297969025318
31173,32.394518272425245
31011,42.91583204930663
31119,38.104304965953446
31117,45.87651821862348
31145,41.262402088772845
31149,45.006632277081806
31073,43.942211055276374
31067,42.02556593687538
31047,37.719220173765635
31005,39.68898488120949
31085,44.47830802603037
31097,41.91520410175508
31003,42.5477929501429
31165,47.4631217838765
31111,40.77456034828435
31163,45.38053982005999
31113,41.906417112299465
31121,41.75306254029658
31161,43.917651544033546
31133,45.185993111366244
31153,35.74650099361097
31075,41.959871589085076
31021,43.24864530113021
31155,40.42802854759478
31009,45.655913978494624
31051,40.42352732434351
31167,40.3125
31183,46.86590038314176
31061,45.571668345082244
31053,39.89826336660741
31029,41.28899082568807
31019,36.65716184377454
31059,43.78963749542292
31185,40.640251480371376
31159,38.49849571858366
31035,40.71110752861519
31033,41.380471380471384
31069,46.428415895481756
31083,45.17455621301776
31177,40.50499300496889
31091,45.958944281524936
31147,44.10553083280356
31065,43.56330196749358
31093,41.687354538401856
31175,43.476671476671484
31027,41.69590573672935
31169,43.278233060163906
31049,44.02062430323299
31123,41.95045239121069
31079,37.03545058921324
31081,40.812741312741316
31115,44.424698795180724
31063,43.23144271031594
31125,42.77863029269679
31107,43.058569371099374
31135,41.74922172258734
31037,35.834158184704464
31023,41.79478542914172
31031,41.88925997539111
53069,48.34135472370766
53041,41.77926326093152
53031,51.958722572235494
53013,46.25846925972396
53037,38.35642015228956
53061,38.389665033822624
53077,35.367460826792836
53047,41.51885519494354
53063,38.896066932161176
53029,43.277821496106455
53009,46.91937256727573
53065,43.58366686350415
53051,45.51938210434275
53073,39.3200739813389
53007,40.26509067357513
53003,43.727039234788776
53019,46.438180149468984
53017,38.74376568652283
53005,37.220876755222854
53023,44.15730337078651
53033,38.193362251651514
53049,48.49437052200614
53039,44.2164994425864
53055,50.572403594585374
53027,42.679314157818304
53015,40.48778855804617
